set,fold,auc,acc,prec,rec,f1,Tag
train,1,1,1,1,1,1,Clinical+ARG/Vir+PanGenome+SNPs
val,1,0.7578957670309209,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs
test,1,0.7623387657372365,0.6842105263157895,0.6732673267326733,0.6355140186915887,0.6538461538461539,Clinical+ARG/Vir+PanGenome+SNPs
train,2,0.9967018437234269,0.9769736842105264,0.9577114427860696,0.9897172236503856,0.9734513274336284,Clinical+ARG/Vir+PanGenome+SNPs
val,2,0.7311360598770382,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs
test,2,0.7778906250000001,0.706140350877193,0.6736842105263158,0.64,0.6564102564102564,Clinical+ARG/Vir+PanGenome+SNPs
train,3,0.9996542526918898,0.9967105263157896,0.9922077922077922,1,0.9960886571056062,Clinical+ARG/Vir+PanGenome+SNPs
val,3,0.7329357377860329,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs
test,3,0.8268324708426663,0.7368421052631579,0.8051948051948052,0.5794392523364486,0.6739130434782609,Clinical+ARG/Vir+PanGenome+SNPs
train,4,0.9991801318621256,0.9945175438596492,0.9876847290640394,1,0.9938042131350682,Clinical+ARG/Vir+PanGenome+SNPs
val,4,0.7652435097879783,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs
test,4,0.7601461038961039,0.6798245614035088,0.5842696629213483,0.5909090909090909,0.5875706214689266,Clinical+ARG/Vir+PanGenome+SNPs
train,5,1,1,1,1,1,Clinical+ARG/Vir+PanGenome+SNPs
val,5,0.7602429031314019,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs
test,5,0.7437841363006441,0.6622807017543859,0.5446428571428571,0.7011494252873564,0.6130653266331658,Clinical+ARG/Vir+PanGenome+SNPs
train,1,0.9989281833448582,0.9857456140350878,0.9670886075949368,1,0.9832689832689832,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
val,1,0.7634229927993821,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
test,1,0.7721479879508766,0.706140350877193,0.696078431372549,0.6635514018691588,0.6794258373205742,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
train,2,0.9964659100404528,0.9725877192982456,0.946078431372549,0.9922879177377892,0.9686323713927228,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
val,2,0.743710844977886,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
test,2,0.7940624999999999,0.7368421052631579,0.7083333333333334,0.68,0.6938775510204082,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
train,3,0.9980885113108762,0.9835526315789472,0.9645569620253164,0.9973821989528796,0.9806949806949808,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
val,3,0.7407638806741511,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
test,3,0.8194948636749826,0.7412280701754386,0.7608695652173914,0.6542056074766355,0.7035175879396985,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
train,4,0.9961544280199696,0.9769736842105264,0.9589371980676328,0.9900249376558604,0.974233128834356,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
val,4,0.7731075644381041,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
test,4,0.7611201298701298,0.7017543859649122,0.6111111111111112,0.625,0.6179775280898876,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
train,5,1,1,1,1,1,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
val,5,0.7658764998536728,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
test,5,0.7448438901116818,0.6798245614035088,0.5636363636363636,0.7126436781609196,0.6294416243654822,Clinical+ARG/Vir+PanGenome+SNPs+Unitigs
train,1,0.994576706509928,0.9769736842105264,0.9523809523809524,0.9947643979057592,0.9731113956466068,ARG/Vir+SNPs+PanGenome+Unitigs
val,1,0.6914376700556041,NA,NA,NA,NA,ARG/Vir+SNPs+PanGenome+Unitigs
test,1,0.7474318374913108,0.706140350877193,0.6886792452830188,0.6822429906542056,0.6854460093896714,ARG/Vir+SNPs+PanGenome+Unitigs
train,2,0.9915850319739292,0.9605263157894736,0.9232613908872902,0.9897172236503856,0.955334987593052,ARG/Vir+SNPs+PanGenome+Unitigs
val,2,0.688097519516926,NA,NA,NA,NA,ARG/Vir+SNPs+PanGenome+Unitigs
test,2,0.771953125,0.7149122807017544,0.6966292134831461,0.62,0.656084656084656,ARG/Vir+SNPs+PanGenome+Unitigs
train,3,0.9941568704929368,0.9714912280701754,0.945,0.9895287958115184,0.9667519181585678,ARG/Vir+SNPs+PanGenome+Unitigs
val,3,0.7033480070930258,NA,NA,NA,NA,ARG/Vir+SNPs+PanGenome+Unitigs
test,3,0.7689039932030586,0.6973684210526315,0.7375,0.5514018691588785,0.6310160427807486,ARG/Vir+SNPs+PanGenome+Unitigs
train,4,0.991630512759198,0.9682017543859648,0.9366197183098592,0.9950124688279302,0.9649334945586456,ARG/Vir+SNPs+PanGenome+Unitigs
val,4,0.7178367231274846,NA,NA,NA,NA,ARG/Vir+SNPs+PanGenome+Unitigs
test,4,0.711038961038961,0.6447368421052632,0.5393258426966292,0.5454545454545454,0.5423728813559322,ARG/Vir+SNPs+PanGenome+Unitigs
train,5,0.9950785289240074,0.9671052631578948,0.9366197183098592,0.9925373134328358,0.9637681159420288,ARG/Vir+SNPs+PanGenome+Unitigs
val,5,0.6996780801872987,NA,NA,NA,NA,ARG/Vir+SNPs+PanGenome+Unitigs
test,5,0.7012309448112823,0.6535087719298246,0.5350877192982456,0.7011494252873564,0.6069651741293532,ARG/Vir+SNPs+PanGenome+Unitigs
