strain	peg344
ERR3891118	0
ERR3891119	0
ERR3891121	0
ERR3891122	0
ERR3891124	0
ERR3891125	0
ERR3891126	0
ERR3891127	0
ERR3891128	0
ERR3891129	0
ERR3891130	0
ERR3891132	0
ERR3891134	0
ERR3891135	0
ERR3891136	0
ERR3891137	0
ERR3891140	0
ERR3891142	0
ERR3891143	0
ERR3891144	0
ERR3891145	0
ERR3891146	0
ERR3891147	0
ERR3891148	0
ERR3891149	0
ERR3891150	0
ERR3891151	0
ERR3891152	0
ERR3891153	0
ERR3891155	0
ERR3891156	0
ERR3891157	0
ERR3891158	0
ERR3891160	0
ERR3891161	0
ERR3891162	0
ERR3891163	0
ERR3891164	0
ERR3891165	0
ERR3891166	0
ERR3891167	0
ERR3891168	0
ERR3891169	0
ERR3891170	0
ERR3891171	0
ERR3891172	0
ERR3891174	0
ERR3891175	0
ERR3891177	0
ERR3891178	0
ERR3891179	0
ERR3891180	1
ERR3891181	0
ERR3891183	0
ERR3891185	0
ERR3891186	0
ERR3891187	0
ERR3891188	0
ERR3891189	0
ERR3891190	0
ERR3891191	0
ERR3891192	0
ERR3891194	0
ERR3891195	0
ERR3891196	0
ERR3891197	0
ERR3891198	0
ERR3891199	0
ERR3891200	0
ERR3891201	0
ERR3891202	0
ERR3891203	0
ERR3891204	0
ERR3891205	0
ERR3891206	0
ERR3891207	0
ERR3891208	0
ERR3891209	0
ERR3891212	0
ERR3891213	0
ERR3891215	0
ERR3891216	0
ERR3891217	0
ERR3891218	0
ERR3891219	1
ERR3891223	0
ERR3891224	0
ERR3891225	0
ERR3891227	0
ERR3891229	0
ERR3891230	0
ERR3891231	0
HKPB001	0
HKPB002	0
HKPB003	0
HKPB004	0
HKPB005	0
HKPB007	0
HKPB008	0
HKPB010	0
HKPB011	0
HKPB013	0
HKPB014	0
HKPB016	0
HKPB017	1
HKPB052	0
HKPB053	0
HKPB055	0
HKPB056	1
HKPB057	0
HKPB058	0
HKPB059	0
HKPB07	0
HKPB08	0
HKPB100	0
HKPB101	0
HKPB102	0
HKPB103	0
HKPB104	0
HKPB105	0
HKPB11	0
HKPB200	0
HKPB201	0
HKPB202	0
HKPB203	0
HKPB204	0
HKPB205	1
HKPB206	1
HKPB207	0
HKPB208	0
HKPB209	0
HKPB210	0
HKPB211	0
HKPB212	0
HKPB213	0
HKPB214	0
HKPB215	0
HKPB216	0
HKPB217	0
HKPB218	1
HKPB219	0
HKPB220	0
HKPB221	0
HKPB222	0
HKPB300	0
HKPB301	1
HKPB303	0
HKPB304	0
HKPB305	0
HKPB306	0
HKPB400	0
HKPB401	0
HKPB402	0
HKPB403	0
HKPB405	0
HKPB406	0
HKPB407	0
HKPB408	0
HKPB409	0
HKPB410	0
HKPB411	0
HKPB412	0
HKPB413	0
HKPB414	0
HKPB415	0
HKPB500	1
HKPB501	0
HKPB502	0
HKPB503	0
HKPB504	0
HKPB505	0
HKPB506	0
HKPB507	0
HKPB508	0
HKPB509	0
HKPB510	0
HKPB511	0
HKPB512	0
HKPB513	0
HKPB514	0
HKPB516	0
HKPB517	0
HKPB518	0
HKPB519	1
HKPB520	1
HKPB521	0
HKPB55	0
HKPB551	0
HKPB552	0
HKPB553	0
HKPB554	0
HKPB555	0
HKPB556	0
HKPB557	1
HKPB558	0
HKPB559	0
HKPB56	1
HKPB560	0
HKPB561	0
HKPB563	0
HKPB564	0
HKPB565	0
HKPB567	0
HKPB568	0
HKPB569	0
HKPB57	0
HKPB570	0
HKPB571	0
HKPB572	0
HKPB573	0
HKPB574	0
HKPB58	0
HKPB59	0
HKPR001	0
HKPR002	0
HKPR003	1
HKPR004	1
HKPR005	1
HKPR008	0
HKPR009	0
HKPR011	0
HKPR012	0
HKPR014	0
HKPR016	0
HKPR017	1
HKPR018	0
HKPR019	0
HKPR021	0
HKPR022	0
HKPR023	0
HKPR024	0
HKPR030	0
HKPR032	0
HKPU002	0
HKPU003	0
HKPU004	0
HKPU009	0
HKPU010	0
HKPU011	0
HKPU012	0
HKPU013	0
HKPU014	0
HKPU016	0
HKPU017	0
HKPU022	0
HKPU023	0
HKPU025	0
HKPU026	0
HKPU027	0
HKPU028	0
HKPU030	0
HKPU031	0
HKPU033	0
HKPU034	1
HKPU035	0
HKPU036	0
HKPU039	0
HKPU040	0
HKPU042	0
HKPU044	0
HKPU046	0
HKPU048	0
HKPU049	0
HKPU054	0
HKPU056	0
HKPU057	0
HKPU058	0
HKPU060	0
HKPU062	0
HKPU080	0
HKPU081	0
HKPU082	0
HKPU083	0
HKPU087	0
HKPU088	0
HKPU090	0
HKPU093	0
HKPU098	0
HKPU099	0
HKPU100	0
HKPU101	0
HKPU102	0
HKPU103	0
HKPU104	0
HKPU105	0
HKPU106	0
HKPU107	0
HKPU109	0
HKPU110	0
HKPU111	0
JKPB501	0
JKPB502	0
JKPB503	0
JKPB504	0
JKPB505	0
JKPB507	0
JKPB508	0
JKPB509	1
JKPB511	0
JKPB512	0
JKPB513	0
JKPB514	0
JKPB517	0
JKPB518	0
JKPB519	0
JKPB520	1
JKPB521	0
JKPB524	0
JKPB525	0
JKPB526	0
JKPB527	0
JKPB528	0
JKPB529	1
JKPB530	0
JKPB531	0
JKPB532	0
JKPB533	0
JKPB536	0
JKPB537	0
JKPB538	0
JKPB539	0
JKPB540	0
JKPB541	0
JKPB542	0
JKPB543	0
JKPB544	0
JKPB546	0
JKPB547	0
JKPB548	0
JKPB549	0
JKPB550	0
JKPB551	0
JKPB552	0
JKPB553	1
JKPB554	0
JKPB600	0
JKPB601	0
JKPB602	0
JKPB603	0
JKPB604	0
JKPB605	0
JKPB606	0
JKPB607	0
JKPB608	0
JKPB610	0
JKPB611	1
JKPB612	0
JKPB613	1
JKPB614	0
JKPB618	0
JKPB619	0
JKPB621	0
JKPB622	0
JKPB626	0
JKPB629	0
JKPB632	0
JKPB638	0
JKPB640	0
JKPB644	0
JKPB647	0
JKPB648	0
JKPB650	0
JKPB651	0
JKPB652	0
JKPB653	0
JKPB670	1
JKPB671	0
JKPB672	0
JKPB673	0
JKPB676	0
JKPB677	0
JKPB679	0
JKPB680	0
JKPB683	1
JKPB685	0
JKPB686	0
JKPB703	0
JKPB706	0
JKPB709	0
JKPB726	0
JKPB729	1
JKPB730	0
JKPB739	0
JKPB760	0
JKPB761	0
JKPB762	0
JKPB763	0
JKPB764	0
JKPB765	0
JKPB766	0
JKPB767	0
JKPB768	0
JKPB769	0
JKPB770	0
JKPB771	0
JKPB772	0
JKPB773	1
JKPB774	1
JKPB775	0
JKPB776	0
JKPB777	0
JKPB778	0
JKPB779	0
JKPB780	1
JKPO700	0
JKPO718	1
JKPO785	1
JKPR702	0
JKPR704	0
JKPR707	0
JKPR713	0
JKPR714	0
JKPR719	0
JKPR720	1
JKPR723	0
JKPR724	0
JKPR737	0
JKPR781	0
JKPR782	1
JKPR783	0
JKPR784	0
JKPU705	0
JKPU708	0
JKPU710	0
JKPU711	0
JKPU716	0
JKPU727	0
JKPU728	0
JKPU738	0
JKPW715	0
JKPW733	0
JKPW734	0
JKPW735	0
Kp001	0
Kp003	0
Kp004	0
Kp005	0
Kp006	0
Kp007	0
Kp008	0
Kp009	0
Kp010	0
Kp011	0
Kp013	0
Kp014	0
Kp016	0
Kp017	0
Kp019	0
Kp01_s	0
Kp020	0
Kp021	0
Kp022	0
Kp023	0
Kp024	0
Kp029	0
Kp02_s	0
Kp031	1
Kp032	0
Kp033	0
Kp034	0
Kp035	0
Kp036	0
Kp037	0
Kp038	1
Kp041	0
Kp042	0
Kp043	0
Kp044	0
Kp045	0
Kp046	0
Kp047	1
Kp049	1
Kp04_s	0
Kp051	0
Kp052	0
Kp055	0
Kp056	0
Kp058	0
Kp059	0
Kp05_s	0
Kp060	1
Kp062	0
Kp063	0
Kp064	0
Kp066	0
Kp067	0
Kp068	0
Kp069	1
Kp072	0
Kp073	0
Kp076	1
Kp077	0
Kp078	0
Kp079	0
Kp07_s	0
Kp080	0
Kp081	0
Kp083	0
Kp088	0
Kp089	0
Kp08_s	0
Kp091	0
Kp093	0
Kp095	0
Kp097	1
Kp099	0
Kp09_s	0
Kp10_s	1
Kp11_s	0
Kp12_s	0
Kp13_s	0
Kp14_s	0
Kp15_s	0
Kp16_s	0
Kp19_s	0
Kp20_s	0
Kp21_s	0
Kp22_s	0
Kp23_s	0
Kp24_s	0
Kp25_s	0
Kp26_s	0
Kp27_s	0
Kp28_s	0
Kp29_s	0
Kp30_s	0
Kp32_s	0
MKPB002	0
MKPB003	0
MKPB006	0
MKPB007	0
MKPB011	1
MKPB012	1
MKPB013	0
MKPB014	0
MKPB016	0
MKPB017	0
MKPB019	0
MKPB020	0
MKPB022	0
MKPB023	1
MKPB024	0
MKPB025	0
MKPB026	0
MKPB027	0
MKPB028	0
MKPB029	0
MKPB034	0
MKPB035	0
MKPB036	0
MKPB038	0
MKPB039	0
MKPB237	0
MKPB241	0
MKPB242	0
MKPB245	0
MKPB252	0
MKPB256	0
MKPB263	0
MKPB267	1
MKPO271	1
MKPO284	0
MKPR001	0
MKPR004	0
MKPR005	0
MKPR006	0
MKPR008	0
MKPR009	0
MKPR010	1
MKPR011	0
MKPR012	0
MKPR013	0
MKPR014	0
MKPR015	0
MKPR016	0
MKPR017	1
MKPR020	1
MKPR021	0
MKPR023	0
MKPR024	0
MKPR025	0
MKPR026	0
MKPR029	0
MKPR030	0
MKPR031	0
MKPR032	0
MKPR033	1
MKPR038	0
MKPR039	0
MKPR040	0
MKPR042	0
MKPR043	0
MKPR044	0
MKPR214	0
MKPR217	0
MKPR224	0
MKPR225	0
MKPR228	1
MKPR230	0
MKPR232	0
MKPR236	0
MKPR246	0
MKPR247	0
MKPR255	0
MKPR261	0
MKPR265	0
MKPR270	0
MKPR275	0
MKPR276	0
MKPR280	0
MKPR281	0
MKPR283	0
MKPR287	0
MKPU005	0
MKPU006	0
MKPU011	0
MKPU015	0
MKPU016	0
MKPU019	0
MKPU023	0
MKPU025	0
MKPU028	0
MKPU033	0
MKPU034	0
MKPU047	0
MKPU048	0
MKPU050	0
MKPU058	0
MKPU060	0
MKPU062	0
MKPU064	0
MKPU065	0
MKPU066	0
MKPU069	0
MKPU071	0
MKPU073	0
MKPU074	0
MKPU075	0
MKPU077	0
MKPU079	0
MKPU080	0
MKPU081	0
MKPU083	0
MKPU087	0
MKPU093	0
MKPU094	0
MKPU095	0
MKPU099	0
MKPU101	0
MKPU102	0
MKPU103	0
MKPU107	0
MKPU108	0
MKPU111	0
MKPU112	0
MKPU116	1
MKPU119	0
MKPU121	0
MKPU122	0
MKPU126	0
MKPU127	0
MKPU128	0
MKPU130	0
MKPU131	0
MKPU135	0
MKPU138	0
MKPU139	0
MKPU141	0
MKPU142	0
MKPU143	0
MKPU144	0
MKPU146	0
MKPU200	0
MKPU201	0
MKPU203	0
MKPU205	0
MKPU206	0
MKPU208	0
MKPU209	0
MKPU210	1
MKPU251	0
MKPU257	0
MKPU259	0
MKPU269	0
MKPU272	0
MKPU277	0
MKPU278	0
MKPU279	1
MKPU282	0
MKPU285	0
MKPU288	0
MKPW250	0
MKPW254	0
MKPW273	0
RKPB001	0
RKPB002	1
RKPB003	1
RKPB004	0
RKPB006	0
RKPB007	0
RKPB009	0
RKPB010	0
RKPB011	0
RKPB014	0
RKPB016	0
RKPB017	0
RKPB018	0
RKPB022	0
RKPB023	0
RKPB024	0
RKPB025	0
RKPB026	0
RKPB027	0
RKPB029	0
RKPB030	0
RKPB031	0
RKPB033	1
RKPB034	0
RKPB035	0
RKPB036	0
RKPB037	0
RKPB038	1
RKPB039	0
RKPB041	0
RKPB042	0
RKPB043	1
RKPB044	0
RKPB045	0
RKPB046	0
RKPB047	0
RKPB049	0
RKPB050	0
RKPB051	0
RKPB052	0
RKPB053	0
RKPB054	0
RKPB055	0
RKPB056	0
RKPB057	0
RKPB059	0
RKPB060	0
RKPB061	0
RKPB062	0
RKPB067	0
RKPB068	0
RKPB070	0
RKPB071	0
RKPB072	1
RKPB073	0
RKPB074	0
RKPB075	0
RKPB076	0
RKPB077	0
RKPB078	0
RKPB079	0
RKPB080	0
RKPB081	0
RKPB082	0
RKPB083	0
RKPB084	0
RKPB085	0
RKPB086	0
RKPB087	0
RKPB088	0
RKPB089	1
RKPB090	0
RKPB091	0
RKPB092	0
RKPB094	0
RKPB095	0
RKPB096	0
RKPB097	0
RKPB099	0
RKPB101	0
RKPB102	1
RKPB103	0
RKPB105	0
RKPB106	0
RKPB107	0
RKPB108	0
RKPB109	0
RKPB110	0
RKPB111	0
RKPB112	0
RKPB113	0
RKPB115	0
RKPB116	0
RKPB117	0
RKPB118	0
RKPB119	0
RKPB120	1
RKPB121	0
RKPB122	0
RKPB123	0
RKPB124	0
RKPB125	0
RKPB126	0
RKPB127	0
RKPB129	0
RKPB130	0
RKPB131	0
RKPB132	0
RKPB133	0
RKPB134	1
RKPB135	0
RKPB136	0
RKPB137	0
RKPB138	0
RKPB139	1
RKPB140	0
RKPB142	0
RKPB144	0
RKPB146	0
RKPB147	0
RKPB148	0
RKPB149	0
RKPB151	1
RKPB152	0
RKPB153	1
RKPB154	0
RKPB155	0
RKPB156	0
RKPB157	0
RKPB158	0
RKPB159	0
RKPB160	0
RKPB161	0
RKPB162	0
RKPB163	0
RKPB164	0
RKPB165	0
RKPB166	0
RKPB167	0
RKPB169	0
RKPB170	0
RKPB171	0
RKPB172	0
RKPB173	0
RKPB174	0
RKPB176	1
RKPB177	0
RKPB178	0
RKPB179	0
RKPB180	0
RKPB181	0
RKPB182	0
RKPB183	0
RKPB184	0
RKPB186	0
RKPB187	0
RKPB188	0
RKPB189	0
RKPB193	0
RKPB194	0
RKPB195	0
RKPB197	0
RKPB199	0
RKPB201	0
RKPB202	0
RKPB203	0
RKPB204	1
RKPB205	1
RKPB206	0
RKPB207	0
RKPB208	0
RKPB209	0
RKPB211	0
RKPB214	0
RKPB215	1
RKPB216	0
RKPB217	0
RKPB218	0
RKPB219	0
RKPB220	0
RKPB222	0
RKPB223	0
RKPB224	0
RKPB227	0
RKPB228	0
RKPB229	0
RKPB230	0
RKPB231	0
RKPB254	0
RKPB255	0
RKPB256	0
RKPB257	0
RKPB258	0
RKPB259	0
RKPB279	0
RKPB280	0
RKPB282	0
RKPB283	0
RKPB284	0
RKPB285	0
RKPB286	0
RKPB287	0
RKPB288	0
RKPB289	0
RKPB290	0
RKPB291	0
RKPB292	0
RKPB294	0
RKPB295	0
RKPB296	0
RKPB297	0
RKPB298	0
RKPB300	0
RKPB301	0
RKPB302	0
RKPB303	0
RKPB304	0
RKPB305	0
RKPB307	0
RKPB309	0
RKPB310	0
RKPB311	1
RKPB312	0
RKPB313	0
RKPB314	0
RKPB315	0
RKPB316	0
RKPB317	0
RKPB318	0
RKPB319	0
RKPB320	0
RKPB321	0
RKPB322	0
RKPB323	0
RKPB324	0
RKPB325	0
RKPB326	0
RKPB327	0
RKPB400	0
RKPB401	0
RKPB403	1
RKPB404	0
RKPB406	0
RKPB407	0
RKPB408	0
RKPB409	1
RKPB410	0
RKPB411	0
RKPB412	0
RKPB413	1
RKPB414	0
RKPB415	1
RKPB416	0
RKPB417	0
RKPB418	0
RKPB419	0
RKPB420	1
RKPB421	0
RKPB422	0
RKPB423	0
RKPB425	0
RKPB426	0
RKPB427	0
RKPB429	0
RKPB430	0
RKPB431	0
RKPB432	1
RKPB434	1
RKPB435	0
RKPB436	0
RKPB437	0
RKPB438	0
RKPB439	0
RKPB442	0
RKPB443	0
RKPB444	0
RKPB446	0
RKPB447	0
RKPB448	1
RKPB450	0
RKPB451	0
RKPB452	0
RKPB453	0
RKPB454	0
RKPB455	0
RKPB456	0
RKPB457	0
RKPB458	0
RKPB459	0
RKPB460	0
RKPB461	0
RKPB463	0
RKPB464	0
RKPB465	0
RKPB466	0
RKPB467	0
RKPB468	0
RKPB510	0
RKPB511	0
RKPB512	0
RKPB513	0
RKPB520	0
RKPB521	0
RKPB522	0
RKPB523	0
RKPB524	0
RKPB525	0
RKPB526	1
RKPB527	0
RKPB528	0
RKPB529	0
RKPB530	0
RKPB532	0
RKPB533	1
RKPB534	1
RKPB535	0
RKPB536	0
RKPB537	0
RKPB538	0
RKPB539	0
RKPB540	1
RKPB541	0
RKPB542	0
RKPB543	0
RKPB545	0
RKPB546	0
RKPB547	1
RKPB548	0
RKPB549	0
RKPB550	0
RKPB551	0
RKPB552	0
RKPB553	0
RKPB554	0
RKPB555	0
RKPB556	1
RKPB557	0
RKPB558	0
RKPB559	0
RKPB560	0
RKPB561	0
RKPB562	0
RKPB563	0
RKPB564	0
RKPB566	1
RKPB803	0
RKPB804	0
RKPB805	0
RKPB806	0
RKPB807	0
RKPB808	1
RKPB811	0
RKPB813	0
RKPB814	1
RKPB815	0
RKPB816	0
RKPB817	0
RKPB819	0
RKPB820	0
RKPB821	0
RKPB822	0
RKPB840	0
RKPB841	1
RKPB842	0
RKPB844	1
RKPB863	1
RKPB865	0
RKPB866	0
RKPB867	0
RKPB868	0
RKPB869	0
RKPB875	0
RKPB876	0
RKPB877	0
RKPB878	0
RKPB879	0
RKPB880	0
RKPB881	0
RKPB888	0
RKPB914	0
RKPB917	0
RKPB960	1
RKPB961	0
RKPB962	0
RKPB966	1
RKPB991	0
RKPR001	0
RKPR002	0
RKPR003	0
RKPR004	0
RKPR006	1
RKPR009	0
RKPR010	0
RKPR011	0
RKPR012	0
RKPR015	0
RKPR016	1
RKPR017	1
RKPR018	0
RKPR019	0
RKPR020	0
RKPR024	0
RKPR025	0
RKPR026	0
RKPR027	0
RKPR029	0
RKPR030	0
RKPR032	0
RKPR034	0
RKPR035	0
RKPR036	0
RKPR037	0
RKPR038	0
RKPR039	0
RKPR040	0
RKPR041	0
RKPR043	0
RKPR047	0
RKPR048	1
RKPR049	0
RKPR050	0
RKPR051	0
RKPR052	0
RKPR054	0
RKPR055	0
RKPR056	0
RKPR057	0
RKPR058	0
RKPR059	0
RKPR060	0
RKPR061	0
RKPR062	0
RKPR063	0
RKPR064	0
RKPR067	0
RKPR068	0
RKPR069	0
RKPR071	0
RKPR072	0
RKPR073	0
RKPR074	0
RKPR075	0
RKPR076	1
RKPR078	0
RKPR079	1
RKPR083	0
RKPR088	0
RKPR089	0
RKPR120	0
RKPR121	0
RKPR122	0
RKPR123	1
RKPR124	1
RKPR125	0
RKPR126	1
RKPR127	0
RKPR128	0
RKPR129	0
RKPR130	0
RKPR131	1
RKPR132	1
RKPR133	1
RKPR134	0
RKPR135	0
RKPR136	0
RKPR137	1
RKPR138	0
RKPR139	0
RKPR140	0
RKPU001	0
RKPU009	0
RKPU011	0
RKPU012	0
RKPU015	0
RKPU019	0
RKPU020	0
RKPU024	0
RKPU025	0
RKPU026	0
RKPU031	0
RKPU034	0
RKPU035	0
RKPU040	0
RKPU042	0
RKPU043	0
RKPU045	0
RKPU047	0
RKPU048	0
RKPU049	0
RKPU050	0
RKPU051	0
RKPU052	0
RKPU053	0
RKPU054	0
RKPU055	0
RKPU057	0
RKPU059	0
RKPU061	0
RKPU062	0
RKPU063	0
RKPU064	0
RKPU065	0
RKPU066	0
RKPU069	0
RKPU070	0
RKPU071	0
RKPU073	0
RKPU074	0
RKPU075	0
RKPU077	0
RKPU078	0
RKPU079	0
RKPU080	0
RKPU082	0
RKPU083	0
RKPU086	0
RKPU087	0
RKPU090	0
RKPU098	0
RKPU101	1
RKPU105	0
RKPU106	0
RKPU108	0
RKPU109	0
RKPU110	0
RKPU112	0
RKPU113	0
RKPU114	0
RKPU115	0
RKPU116	0
RKPU117	0
RKPU119	0
RKPU120	0
RKPU122	0
RKPU123	0
RKPU124	0
RKPU125	0
RKPU126	0
RKPU128	0
RKPU130	0
RKPU131	0
RKPU132	0
RKPU135	0
RKPU136	0
RKPU137	0
RKPU138	0
RKPU139	0
RKPU140	0
RKPU141	0
RKPU142	0
RKPU144	1
RKPU145	0
RKPU146	0
RKPU149	0
RKPU150	0
RKPU152	0
RKPU153	0
RKPU154	0
RKPU155	0
RKPU156	0
RKPU157	0
RKPU158	0
RKPU159	0
RKPU160	0
RKPU161	0
RKPU162	0
RKPU163	0
RKPU164	0
RKPU165	0
RKPU166	0
RKPU171	0
RKPU172	0
RKPU173	0
RKPU174	0
RKPU176	0
RKPU179	0
RKPU180	0
RKPU181	0
RKPU182	0
RKPU184	1
RKPU185	0
RKPU186	0
RKPU187	0
RKPU206	0
RKPU207	0
RKPU220	1
RKPU224	0
RKPU226	0
RKPU229	0
RKPU251	0
RKPU253	0
RKPU254	0
RKPU255	0
